PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01001784,ASTHMA,2684,134,111.8850772273588,22.114922772641194,0.426868562280527,False
E01001785,ASTHMA,1887,88,86.35036627490938,1.6496337250906237,0.037975331762163785,False
E01001786,ASTHMA,2565,108,122.30771346052657,-14.307713460526571,-0.2825052670547191,False
E01001787,ASTHMA,1880,115,95.53746280254516,19.462537197454836,0.448869948801878,False
E01001788,ASTHMA,1805,115,92.93003817111554,22.06996182888446,0.5194729990548551,False
E01001789,ASTHMA,2029,126,94.10235345750058,31.897646542499416,0.7081375397719121,False
E01001790,ASTHMA,1887,55,93.55729429642287,-38.55729429642287,-0.8876067580866205,False
E01001791,ASTHMA,1808,97,85.82355189546172,11.17644810453828,0.2628479491586365,False
E01001792,ASTHMA,2405,159,114.85575871844829,44.144241281551714,0.900153379936534,False
E01001793,ASTHMA,2017,129,91.51102519868569,37.48897480131431,0.8347388274730103,False
E01001794,ASTHMA,2447,156,115.04814816963052,40.95185183036948,0.8278593545315439,False
E01001795,ASTHMA,1782,102,82.91075954152474,19.08924045847526,0.45220441560349184,False
E01001796,ASTHMA,1930,107,85.69548406134108,21.304515938658923,0.484945592472318,False
E01001798,ASTHMA,2510,144,122.25880786609164,21.741192133908356,0.4339567952697185,False
E01001799,ASTHMA,2156,73,86.73252240117148,-13.73252240117148,-0.29575080668724796,False
E01001800,ASTHMA,2398,111,106.94444335300288,4.055556646997118,0.08281821818378485,False
E01001801,ASTHMA,1871,79,85.19792503846053,-6.197925038460525,-0.14328786957104359,False
E01001802,ASTHMA,1655,75,76.03987229423825,-1.0398722942382506,-0.02556118645063138,False
E01001803,ASTHMA,2073,108,87.13543232246826,20.86456767753174,0.4582576665358496,False
E01001804,ASTHMA,2077,55,84.67220540996361,-29.67220540996361,-0.6510758379003757,False
E01001805,ASTHMA,1480,81,65.40226442445288,15.59773557554712,0.4054438301189773,False
E01001806,ASTHMA,1709,120,80.23603528033469,39.76396471966531,0.9618750249487308,False
E01001807,ASTHMA,2375,93,102.79496820349816,-9.794968203498158,-0.20098850672303045,False
E01001808,ASTHMA,2486,41,101.9530099496471,-60.9530099496471,-1.2224879709295666,False
E01001809,ASTHMA,2565,60,103.99137072082897,-43.99137072082897,-0.868607969252241,False
E01001811,ASTHMA,1878,93,86.4844949872951,6.515505012704907,0.15034891186337157,False
E01001812,ASTHMA,2455,76,103.82711121288321,-27.82711121288321,-0.5616197546927719,False
E01001813,ASTHMA,1838,100,89.65332698302257,10.346673016977434,0.2413392567414831,False
E01001814,ASTHMA,2335,89,98.34166189136232,-9.341661891362321,-0.1933217429926541,False
E01001815,ASTHMA,2216,153,108.02927005452257,44.97072994547743,0.9553116167625186,False
E01001816,ASTHMA,1909,111,85.5703703189301,25.429629681069898,0.5820188783083934,False
E01001819,ASTHMA,2066,109,99.76543421658982,9.234565783410176,0.2031661359664743,False
E01001820,ASTHMA,1877,110,90.45450247467328,19.545497525326724,0.45114338463098286,False
E01001821,ASTHMA,1703,126,83.8746546156022,42.125345384397804,1.0207893977560847,False
E01001822,ASTHMA,2541,114,120.43731156220598,-6.437311562205977,-0.1277033225360317,False
E01001823,ASTHMA,2095,59,86.65656305313561,-27.656563053135613,-0.6042354406507916,False
E01001824,ASTHMA,2447,87,104.90464031820534,-17.904640318205338,-0.361950029472335,False
E01001825,ASTHMA,1928,42,77.40300801553471,-35.40300801553471,-0.8062814137300721,False
E01001826,ASTHMA,2741,88,116.33271459095485,-28.33271459095485,-0.5411699448334052,False
E01001827,ASTHMA,2415,107,112.1573187160692,-5.157318716069199,-0.10494588241403034,False
E01001828,ASTHMA,2341,129,111.3487239017778,17.651276098222198,0.3648172802501316,False
E01001829,ASTHMA,2112,131,90.4453366353063,40.554663364693695,0.8824575920747866,False
E01001830,ASTHMA,2250,155,107.3697941461028,47.630205853897195,1.0041329061400017,False
E01001831,ASTHMA,2069,94,94.50871490556275,-0.5087149055627549,-0.011183924265769427,False
E01001832,ASTHMA,2091,130,95.81922324514315,34.18077675485685,0.7474891814003405,False
E01001833,ASTHMA,2671,175,122.52624703075229,52.47375296924771,1.0153252399216848,False
E01001834,ASTHMA,2582,158,114.07466182040575,43.92533817959425,0.8644442598936605,False
E01001835,ASTHMA,1573,106,68.08868131079103,37.91131868920897,0.9558825416391551,False
E01001836,ASTHMA,2346,148,104.53200082825236,43.467999171747636,0.8974404619678622,False
E01001837,ASTHMA,1811,115,78.99911477338748,36.000885226612525,0.8459680372146493,False
E01001838,ASTHMA,2519,139,121.82904321707177,17.17095678292823,0.3421215346024584,False
E01001839,ASTHMA,3892,191,169.27648717593448,21.723512824065523,0.34821192403981455,False
E01001840,ASTHMA,2086,129,102.6246100215921,26.375389978407895,0.5774863690841507,False
E01001841,ASTHMA,1664,105,79.78854030725897,25.21145969274103,0.61804675451656,False
E01001842,ASTHMA,1992,145,95.33697143444257,49.663028565557426,1.1127267618502927,False
E01001843,ASTHMA,1536,110,72.59322511014238,37.406774889857616,0.9544532437844332,False
E01001844,ASTHMA,2332,128,103.0466346222534,24.953365377746593,0.5167313997459554,False
E01001845,ASTHMA,1960,149,98.15201457177491,50.84798542822509,1.1485389170303106,False
E01001846,ASTHMA,1458,101,74.03222124407671,26.96777875592329,0.7062629345130323,False
E01001847,ASTHMA,1826,94,84.90188244417905,9.098117555820949,0.2129124990087213,False
E01001848,ASTHMA,1975,113,93.590997657204,19.409002342796,0.43673667409849265,False
E01001849,ASTHMA,3994,221,169.63393841691374,51.366061583086264,0.8127785578591046,False
E01001850,ASTHMA,2329,133,112.72159652297839,20.278403477021612,0.4201931958575094,False
E01002045,ASTHMA,4,0,0.18461273309140472,-0.18461273309140472,-0.09230636654570236,False
E01002046,ASTHMA,1,0,0.040667210313449574,-0.040667210313449574,-0.040667210313449574,False
E01002051,ASTHMA,60,2,2.277723488202116,-0.277723488202116,-0.035853948155247575,False
E01002053,ASTHMA,573,17,23.38871120904258,-6.3887112090425795,-0.26689223960460673,False
E01002054,ASTHMA,39,1,1.7094203585598513,-0.7094203585598513,-0.11359817228793193,False
E01002055,ASTHMA,251,6,9.378482516973632,-3.378482516973632,-0.21324792556775352,False
E01002056,ASTHMA,330,8,14.079670249067838,-6.0796702490678385,-0.33467483240702234,False
E01002069,ASTHMA,9,1,0.4893604546951706,0.5106395453048294,0.17021318176827646,False
E01002070,ASTHMA,16,0,0.6438295790359082,-0.6438295790359082,-0.16095739475897705,False
E01002072,ASTHMA,21,0,0.9938040212847269,-0.9938040212847269,-0.21686581683279837,False
E01002073,ASTHMA,27,4,1.3834223877197533,2.6165776122802464,0.5035605962685161,False
E01002243,ASTHMA,2322,126,107.06374586632646,18.936254133673543,0.39297322926787015,False
E01002244,ASTHMA,1914,69,85.69253036303436,-16.692530363034365,-0.38154978059009703,False
E01002245,ASTHMA,1780,84,81.92272425767263,2.077275742327373,0.04923615706705098,False
E01002246,ASTHMA,1938,104,92.8283201280477,11.171679871952307,0.25377076916470903,False
E01002247,ASTHMA,2948,140,128.59163571370297,11.40836428629703,0.21011624979771593,False
E01002248,ASTHMA,1906,74,83.8364004735556,-9.8364004735556,-0.22530703578837102,False
E01002249,ASTHMA,4912,139,203.8553856174097,-64.8553856174097,-0.9253730918043863,False
E01002250,ASTHMA,1933,102,88.24001562208578,13.759984377914222,0.31296949838939975,False
E01002251,ASTHMA,1678,58,77.81514687715212,-19.815146877152117,-0.4837281012115535,False
E01002252,ASTHMA,1671,98,77.97334245928678,20.026657540713217,0.4899144469414698,False
E01002253,ASTHMA,1730,96,78.43478959302126,17.565210406978736,0.4223089687783762,False
E01002254,ASTHMA,1805,97,81.51162738415219,15.488372615847808,0.3645584634724414,False
E01002255,ASTHMA,1587,110,70.67863731779475,39.32136268220525,0.9870521447597436,False
E01002256,ASTHMA,1691,78,75.42528649988382,2.574713500116175,0.06261193221263388,False
E01002257,ASTHMA,1930,88,88.44025571402153,-0.4402557140215322,-0.010021352688332177,False
E01002258,ASTHMA,1986,155,89.27307211750094,65.72692788249906,1.4748698969489134,False
E01002259,ASTHMA,1785,118,77.05337075141627,40.94662924858373,0.9691679549127058,False
E01002260,ASTHMA,2092,63,92.92913061456008,-29.92913061456008,-0.6543547532413729,False
E01002261,ASTHMA,2013,73,89.75190746791574,-16.751907467915743,-0.37337254323601404,False
E01002262,ASTHMA,1808,72,82.85476640758372,-10.854766407583725,-0.25528263202608154,False
E01002263,ASTHMA,1737,57,79.20573069313953,-22.20573069313953,-0.5328011569935186,False
E01002264,ASTHMA,1800,100,85.8293757608408,14.170624239159196,0.3340048164385309,False
E01002265,ASTHMA,1709,73,78.50219928962842,-5.502199289628422,-0.13309608627549283,False
