PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01001796,ASTHMA,1930,107,85.69548406134052,21.304515938659478,0.4849455924723306,False
E01001798,ASTHMA,2510,144,122.25880786607873,21.741192133921274,0.4339567952699763,False
E01001799,ASTHMA,2156,73,86.73252240116109,-13.732522401161091,-0.29575080668702425,False
E01001800,ASTHMA,2398,111,106.94444335298753,4.055556647012466,0.08281821818409826,False
E01001801,ASTHMA,1871,79,85.19792503845467,-6.19792503845467,-0.14328786957090822,False
E01001802,ASTHMA,1655,75,76.03987229423132,-1.0398722942313157,-0.02556118645046091,False
E01001803,ASTHMA,2073,108,87.13543232248091,20.86456767751909,0.4582576665355718,False
E01001804,ASTHMA,2077,55,84.6722054099542,-29.672205409954202,-0.6510758379001693,False
E01001805,ASTHMA,1480,81,65.40226442445301,15.597735575546992,0.40544383011897395,False
E01001806,ASTHMA,1709,120,80.23603528033716,39.76396471966284,0.9618750249486709,False
E01001807,ASTHMA,2375,93,102.79496820348984,-9.794968203489844,-0.20098850672285984,False
E01001808,ASTHMA,2486,41,101.95300994963114,-60.95300994963114,-1.2224879709292467,False
E01001809,ASTHMA,2565,60,103.99137072081629,-43.99137072081629,-0.8686079692519908,False
E01001811,ASTHMA,1878,93,86.48449498728438,6.5155050127156215,0.15034891186361882,False
E01001812,ASTHMA,2455,76,103.82711121286881,-27.827111212868815,-0.5616197546924814,False
E01001813,ASTHMA,1838,100,89.65332698301454,10.346673016985463,0.2413392567416704,False
E01001814,ASTHMA,2335,89,98.34166189134865,-9.34166189134865,-0.19332174299237118,False
E01001815,ASTHMA,2216,153,108.02927005451672,44.970729945483285,0.955311616762643,False
E01001816,ASTHMA,1909,111,85.57037031893539,25.42962968106461,0.5820188783082724,False
E01001819,ASTHMA,2066,109,99.76543421659538,9.23456578340462,0.20316613596635202,False
E01001820,ASTHMA,1877,110,90.45450247466766,19.545497525332337,0.4511433846311124,False
E01001821,ASTHMA,1703,126,83.8746546155974,42.12534538440261,1.0207893977562013,False
E01001822,ASTHMA,2541,114,120.43731156218985,-6.437311562189848,-0.1277033225357117,False
E01001823,ASTHMA,2095,59,86.6565630531239,-27.656563053123904,-0.6042354406505358,False
E01001824,ASTHMA,2447,87,104.90464031818904,-17.90464031818904,-0.3619500294720055,False
E01001825,ASTHMA,1928,42,77.40300801552247,-35.403008015522474,-0.8062814137297935,False
E01001826,ASTHMA,2741,88,116.33271459093542,-28.332714590935424,-0.5411699448330342,False
E01001827,ASTHMA,2415,107,112.15731871605554,-5.157318716055542,-0.10494588241375244,False
E01001828,ASTHMA,2341,129,111.34872390177252,17.651276098227484,0.36481728025024085,False
E01001829,ASTHMA,2112,131,90.44533663532259,40.55466336467741,0.8824575920744322,False
E01001830,ASTHMA,2250,155,107.3697941461013,47.6302058538987,1.0041329061400337,False
E01001831,ASTHMA,2069,94,94.50871490556395,-0.5087149055639486,-0.01118392426579567,False
E01001832,ASTHMA,2091,130,95.81922324514265,34.18077675485735,0.7474891814003514,False
E01001833,ASTHMA,2671,175,122.52624703074851,52.47375296925149,1.0153252399217578,False
E01001834,ASTHMA,2582,158,114.07466182040409,43.92533817959591,0.8644442598936931,False
E01001835,ASTHMA,1573,106,68.08868131079767,37.91131868920233,0.9558825416389878,False
E01001836,ASTHMA,2346,148,104.53200082825882,43.467999171741184,0.897440461967729,False
E01001837,ASTHMA,1811,115,78.99911477339974,36.00088522660026,0.8459680372143611,False
E01001838,ASTHMA,2519,139,121.82904321705998,17.170956782940024,0.34212153460269346,False
E01001839,ASTHMA,3892,191,169.27648717592513,21.723512824074874,0.3482119240399644,False
E01001840,ASTHMA,2086,129,102.62461002158524,26.37538997841476,0.5774863690843011,False
E01001841,ASTHMA,1664,105,79.78854030726094,25.211459692739055,0.6180467545165116,False
E01001842,ASTHMA,1992,145,95.33697143443739,49.66302856556261,1.1127267618504089,False
E01001843,ASTHMA,1536,110,72.59322511014261,37.40677488985739,0.9544532437844274,False
E01001844,ASTHMA,2332,128,103.0466346222573,24.9533653777427,0.5167313997458748,False
E01001845,ASTHMA,1960,149,98.15201457176931,50.847985428230686,1.148538917030437,False
E01001846,ASTHMA,1458,101,74.03222124407442,26.96777875592558,0.7062629345130923,False
E01001847,ASTHMA,1826,94,84.90188244417348,9.09811755582652,0.21291249900885165,False
E01001848,ASTHMA,1975,113,93.59099765720036,19.40900234279964,0.43673667409857453,False
E01001849,ASTHMA,3994,221,169.6339384169084,51.36606158309161,0.8127785578591892,False
E01001850,ASTHMA,2329,133,112.72159652297024,20.278403477029755,0.4201931958576781,False
E01002045,ASTHMA,4,0,0.18461273309142862,-0.18461273309142862,-0.09230636654571431,False
E01002046,ASTHMA,1,0,0.040667210313449574,-0.040667210313449574,-0.040667210313449574,False
E01002051,ASTHMA,60,2,2.2777234882016764,-0.27772348820167636,-0.035853948155190815,False
E01002053,ASTHMA,573,17,23.38871120903894,-6.3887112090389415,-0.26689223960445474,False
E01002054,ASTHMA,39,1,1.7094203585596768,-0.7094203585596768,-0.11359817228790399,False
E01002055,ASTHMA,251,6,9.378482516972577,-3.3784825169725767,-0.21324792556768693,False
E01002056,ASTHMA,330,8,14.079670249066933,-6.0796702490669325,-0.33467483240697243,False
E01002069,ASTHMA,9,1,0.48936045469512646,0.5106395453048735,0.17021318176829117,False
E01002070,ASTHMA,16,0,0.6438295790359639,-0.6438295790359639,-0.16095739475899098,False
E01002072,ASTHMA,21,0,0.9938040212847025,-0.9938040212847025,-0.21686581683279305,False
E01002073,ASTHMA,27,4,1.3834223877196337,2.6165776122803663,0.5035605962685392,False
E01002243,ASTHMA,2322,126,107.0637458663282,18.936254133671795,0.3929732292678339,False
E01002244,ASTHMA,1914,69,85.69253036304417,-16.69253036304417,-0.3815497805903212,False
E01002245,ASTHMA,1780,84,81.92272425768424,2.077275742315763,0.04923615706677579,False
E01002246,ASTHMA,1938,104,92.82832012806365,11.171679871936348,0.25377076916434654,False
E01002247,ASTHMA,2948,140,128.59163571371099,11.408364286289014,0.2101162497975683,False
E01002248,ASTHMA,1906,74,83.83640047356093,-9.836400473560929,-0.2253070357884931,False
E01002249,ASTHMA,4912,139,203.85538561741353,-64.85538561741353,-0.925373091804441,False
E01002250,ASTHMA,1933,102,88.24001562209054,13.759984377909461,0.31296949838929145,False
E01002251,ASTHMA,1678,58,77.81514687715793,-19.81514687715793,-0.4837281012116954,False
E01002252,ASTHMA,1671,98,77.97334245931356,20.026657540686443,0.4899144469408149,False
E01002253,ASTHMA,1730,96,78.43478959305314,17.56521040694686,0.42230896877760987,False
E01002254,ASTHMA,1805,97,81.51162738418442,15.488372615815578,0.3645584634716828,False
E01002255,ASTHMA,1587,110,70.67863731781908,39.32136268218092,0.9870521447591328,False
E01002256,ASTHMA,1691,78,75.4252864999128,2.5747135000871992,0.06261193221192923,False
E01002257,ASTHMA,1930,88,88.44025571405689,-0.4402557140568888,-0.010021352689136984,False
E01002258,ASTHMA,1986,155,89.27307211752391,65.72692788247609,1.474869896948398,False
E01002259,ASTHMA,1785,118,77.0533707514436,40.946629248556405,0.969167954912059,False
E01002260,ASTHMA,2092,63,92.92913061457793,-29.92913061457793,-0.6543547532417632,False
E01002261,ASTHMA,2013,73,89.75190746793172,-16.751907467931716,-0.37337254323637004,False
E01002262,ASTHMA,1808,72,82.85476640759973,-10.854766407599726,-0.25528263202645785,False
E01002263,ASTHMA,1737,57,79.20573069316656,-22.205730693166558,-0.5328011569941672,False
E01002264,ASTHMA,1800,100,85.82937576084365,14.170624239156353,0.3340048164384639,False
E01002265,ASTHMA,1709,73,78.50219928965107,-5.502199289651074,-0.13309608627604078,False
E01002266,ASTHMA,1686,69,76.34205269540351,-7.34205269540351,-0.1788087273096281,False
E01002267,ASTHMA,2061,98,99.43130767270166,-1.4313076727016636,-0.0315278244365115,False
E01002268,ASTHMA,1616,53,72.03184476409874,-19.031844764098736,-0.4734348334645375,False
E01002269,ASTHMA,1926,105,85.60218247801868,19.397817521981324,0.44200250243396194,False
E01002270,ASTHMA,1834,100,88.97600501252529,11.023994987474708,0.25741825468077034,False
E01002271,ASTHMA,1699,66,81.20626378756751,-15.206263787567508,-0.36891458947073313,False
E01002272,ASTHMA,1542,71,69.82460516635113,1.1753948336488662,0.029932403470839846,False
E01002273,ASTHMA,1462,75,69.65553491964813,5.344465080351867,0.13977534005497264,False
E01002274,ASTHMA,1773,87,80.73667106428081,6.263328935719187,0.1487479032579686,False
E01002275,ASTHMA,1437,80,70.67389804463554,9.326101955364464,0.24602077083282636,False
E01002276,ASTHMA,2462,94,118.50963123355078,-24.509631233550778,-0.4939611041186001,False
E01002277,ASTHMA,1781,83,85.26840429574136,-2.2684042957413624,-0.053751241704774515,False
E01002278,ASTHMA,1973,96,91.29218175212105,4.707818247878947,0.10598786534378732,False
E01002279,ASTHMA,1915,82,87.15944945595602,-5.159449455956022,-0.11790140300071836,False
E01002280,ASTHMA,1984,92,90.95483357526693,1.0451664247330683,0.023464678922803406,False
E01002281,ASTHMA,2879,110,128.2854537235253,-18.285453723525308,-0.3407884825140604,False
E01002282,ASTHMA,2140,100,95.0682337637758,4.931766236224206,0.10660942386313889,False
E01002283,ASTHMA,1831,84,85.70764800483781,-1.7076480048378073,-0.039907468810527355,False
E01002284,ASTHMA,2248,113,102.83514082464062,10.164859175359382,0.21438935260036132,False
E01002285,ASTHMA,1914,89,85.63385242191448,3.366147578085517,0.07694177227298128,False
E01002286,ASTHMA,1651,58,75.89049416368846,-17.89049416368846,-0.4403001161251548,False
E01002287,ASTHMA,1796,66,80.55274666971374,-14.552746669713741,-0.3433932888071761,False
E01002288,ASTHMA,1632,77,73.57451001038561,3.425489989614391,0.08479351241769707,False
E01002289,ASTHMA,1798,112,80.15508734393522,31.84491265606478,0.75100913277011,False
E01002290,ASTHMA,1553,97,74.3188871745422,22.681112825457802,0.5755441329196905,False
E01002291,ASTHMA,1577,76,75.77416771628954,0.22583228371046005,0.005686829133764052,False
E01002292,ASTHMA,1802,121,84.00649277714757,36.99350722285243,0.871461316472707,False
E01002293,ASTHMA,3172,134,132.04625465310312,1.9537453468968806,0.034689765765139303,False
E01002294,ASTHMA,1737,77,78.87867562769375,-1.8786756276937524,-0.04507667691205511,False
E01002295,ASTHMA,2108,99,94.25054343314042,4.749456566859578,0.10344478878419182,False
E01002296,ASTHMA,1896,81,89.95788811972295,-8.957888119722952,-0.20572471411735518,False
