effect_modifier,modifier_value,ethnic_group,odds_ratio,lower_ci,upper_ci,phenotype
imd_rank,0.7368421052631579,Black,0.6623691705159114,0.538462046950223,0.814788935515253,DIABETES_T2
imd_rank,0.7894736842105263,Black,0.6414973886299355,0.5162834378473864,0.797079413073622,DIABETES_T2
imd_rank,0.8421052631578947,Black,0.6212832932705783,0.4950183391851138,0.7797548089481833,DIABETES_T2
imd_rank,0.894736842105263,Black,0.6017061602098047,0.47462912455855916,0.7628067568992131,DIABETES_T2
imd_rank,0.9473684210526315,Black,0.5827459182565669,0.4550797173495884,0.7462270725280798,DIABETES_T2
imd_rank,1.0,Black,0.5643831286790868,0.4363355268929137,0.73000774932491,DIABETES_T2
imd_rank,0.0,East_Or_Other_Asian,1.101768295434921,1.012556426092566,1.1988402281045814,DIABETES_T2
imd_rank,0.05263157894736842,East_Or_Other_Asian,1.0703994369420182,0.9730392880403053,1.1775012259919457,DIABETES_T2
imd_rank,0.10526315789473684,East_Or_Other_Asian,1.0399236929880116,0.9350643891755116,1.156542051816752,DIABETES_T2
imd_rank,0.15789473684210525,East_Or_Other_Asian,1.0103156353737917,0.8985715403795241,1.1359559447538543,DIABETES_T2
imd_rank,0.21052631578947367,East_Or_Other_Asian,0.9815505598760463,0.863502901540266,1.115736264318799,DIABETES_T2
imd_rank,0.2631578947368421,East_Or_Other_Asian,0.9536044656346733,0.8298028898773357,1.095876488225795,DIABETES_T2
imd_rank,0.3157894736842105,East_Or_Other_Asian,0.9264540351270628,0.7974180918449052,1.0763702102838122,DIABETES_T2
imd_rank,0.3684210526315789,East_Or_Other_Asian,0.9000766147125394,0.7662971784727899,1.0572111383301301,DIABETES_T2
imd_rank,0.42105263157894735,East_Or_Other_Asian,0.8744501957307306,0.7363908240115139,1.0383930922006668,DIABETES_T2
imd_rank,0.47368421052631576,East_Or_Other_Asian,0.8495533961380899,0.70765162775242,1.019910001736436,DIABETES_T2
imd_rank,0.5263157894736842,East_Or_Other_Asian,0.8253654426672552,0.6800340388989146,1.0017559048254892,DIABETES_T2
imd_rank,0.5789473684210527,East_Or_Other_Asian,0.8018661534943525,0.6534942843697698,0.983924945479711,DIABETES_T2
imd_rank,0.631578947368421,East_Or_Other_Asian,0.7790359213997874,0.6279902994200534,0.966411371945845,DIABETES_T2
imd_rank,0.6842105263157894,East_Or_Other_Asian,0.7568556974084704,0.6034816609697217,0.9492095348501445,DIABETES_T2
imd_rank,0.7368421052631579,East_Or_Other_Asian,0.7353069748958284,0.5799295235342046,0.9323138853760479,DIABETES_T2
imd_rank,0.7894736842105263,East_Or_Other_Asian,0.71437177414634,0.557296557655434,0.9157189734742899,DIABETES_T2
imd_rank,0.8421052631578947,East_Or_Other_Asian,0.6940326273517098,0.5355468907357298,0.8994194461048732,DIABETES_T2
imd_rank,0.894736842105263,East_Or_Other_Asian,0.6742725640361654,0.5146460501807678,0.8834100455103322,DIABETES_T2
imd_rank,0.9473684210526315,East_Or_Other_Asian,0.6550750968967176,0.4945609087615133,0.8676856075197311,DIABETES_T2
imd_rank,1.0,East_Or_Other_Asian,0.636424208046566,0.4752596321085187,0.852241059882853,DIABETES_T2
imd_rank,0.0,South_Asian,1.9825796805620566,1.8701318939495228,2.1017887575172485,DIABETES_T2
imd_rank,0.05263157894736842,South_Asian,1.9256110426621789,1.7996242069899426,2.060417876810237,DIABETES_T2
imd_rank,0.10526315789473684,South_Asian,1.870279375894401,1.7317747998749413,2.0198613261658216,DIABETES_T2
imd_rank,0.15789473684210525,South_Asian,1.8165376425448836,1.6664834501743584,1.9801030765935754,DIABETES_T2
imd_rank,0.21052631578947367,South_Asian,1.7643401565097707,1.6036537140427174,1.9411274146121562,DIABETES_T2
imd_rank,0.2631578947368421,South_Asian,1.713642544457213,1.5431927837590782,1.9029189360389376,DIABETES_T2
imd_rank,0.3157894736842105,South_Asian,1.664401708105389,1.4850113506379206,1.8654625399018796,DIABETES_T2
imd_rank,0.3684210526315789,South_Asian,1.6165757875844478,1.4290234731085574,1.8287434224712373,DIABETES_T2
imd_rank,0.42105263157894735,South_Asian,1.570124125851236,1.3751464497682189,1.7927470714087455,DIABETES_T2
imd_rank,0.47368421052631576,South_Asian,1.52500723412655,1.323300697221285,1.75745926003197,DIABETES_T2
imd_rank,0.5263157894736842,South_Asian,1.481186758325537,1.2734096325242241,1.7228660416915589,DIABETES_T2
imd_rank,0.5789473684210527,South_Asian,1.438625446452705,1.2253995600625887,1.6889537442591667,DIABETES_T2
imd_rank,0.631578947368421,South_Asian,1.3972871169338232,1.1791995626929743,1.6557089647238794,DIABETES_T2
imd_rank,0.6842105263157894,South_Asian,1.3571366278577928,1.1347413969891418,1.6231185638949992,DIABETES_T2
imd_rank,0.7368421052631579,South_Asian,1.3181398471023413,1.0919593924375706,1.5911696612090995,DIABETES_T2
imd_rank,0.7894736842105263,South_Asian,1.2802636233181426,1.0507903544335377,1.5598496296392965,DIABETES_T2
imd_rank,0.8421052631578947,South_Asian,1.243475757746697,1.0111734709344398,1.529146090704721,DIABETES_T2
imd_rank,0.894736842105263,South_Asian,1.2077449768480122,0.9730502226324662,1.4990469095782282,DIABETES_T2
imd_rank,0.9473684210526315,South_Asian,1.1730409057148181,0.9363642965139463,1.4695401902903995,DIABETES_T2
imd_rank,1.0,South_Asian,1.139334042250714,0.9010615026776765,1.4406142710279521,DIABETES_T2
imd_rank,0.0,White,0.41371304540264625,0.38795978088630795,0.44117584442726093,DIABETES_T2
imd_rank,0.05263157894736842,White,0.39733712103665536,0.3692036937972044,0.42761432349161715,DIABETES_T2
imd_rank,0.10526315789473684,White,0.3816094017534403,0.3513543780288041,0.41446967680784147,DIABETES_T2
imd_rank,0.15789473684210525,White,0.36650422977515923,0.33436799532080563,0.4017290898735861,DIABETES_T2
imd_rank,0.21052631578947367,White,0.3519969629308845,0.31820282679297857,0.38938014209778377,DIABETES_T2
imd_rank,0.2631578947368421,White,0.338063934456028,0.3028191704827978,0.3774107946920155,DIABETES_T2
imd_rank,0.3157894736842105,White,0.324682414383019,0.2881792438366645,0.3658093789340917,DIABETES_T2
imd_rank,0.3684210526315789,White,0.3118305724602464,0.2742470909152346,0.35456458479240466,DIABETES_T2
